iter	Passed	Remaining
798	59808	314462
799	59879	314367
800	59954	314291
801	60015	314144
802	60084	314038
803	60154	313943
804	60221	313825
805	60287	313705
806	60348	313555
807	60415	313443
808	60488	313356
809	60549	313211
810	60617	313101
811	60687	313002
812	60750	312870
813	60819	312762
814	60893	312688
815	60959	312568
816	61028	312462
817	61106	312403
818	61203	312441
819	61283	312394
820	61369	312380
821	61442	312295
822	61507	312170
823	61579	312080
824	61650	311990
825	61725	311915
826	61786	311773
827	61871	311747
828	61960	311747
829	62040	311698
830	62111	311604
831	62182	311510
832	62249	311396
833	62328	311342
834	62406	311286
835	62474	311179
836	62551	311115
837	62614	310979
838	62676	310840
839	62745	310739
840	62816	310646
841	62882	310529
842	62951	310427
843	63014	310293
844	63084	310194
845	63171	310180
846	63234	310049
847	63302	309941
848	63368	309827
849	63435	309715
850	63499	309587
851	63571	309499
852	63639	309395
853	63715	309328
854	63783	309221
855	63854	309125
856	63922	309020
857	63986	308893
858	64065	308841
859	64129	308716
860	64189	308570
861	64257	308465
862	64324	308356
863	64398	308279
864	64476	308220
865	64549	308139
866	64625	308069
867	64696	307980
868	64767	307887
869	64846	307834
870	64917	307743
871	64990	307663
872	65058	307555
873	65137	307502
874	65218	307457
875	65284	307345
876	65352	307239
877	65424	307151
878	65492	307045
879	65558	306931
880	65624	306820
881	65695	306725
882	65755	306586
883	65836	306541
884	65914	306485
885	65980	306369
886	66051	306277
887	66133	306239
888	66219	306217
889	66296	306157
890	66376	306108
891	66461	306082
892	66530	305979
893	66594	305856
894	66663	305759
895	66725	305624
896	66790	305507
897	66872	305467
898	66943	305379
899	67013	305282
900	67081	305178
901	67150	305082
902	67219	304982
903	67282	304855
904	67353	304766
905	67424	304675
906	67486	304543
907	67552	304433
908	67615	304309
909	67697	304265
910	67765	304162
911	67832	304057
912	67908	303990
913	67974	303876
914	68047	303797
915	68115	303693
916	68191	303628
917	68264	303546
918	68327	303421
919	68397	303326
920	68468	303238
921	68548	303190
922	68623	303119
923	68697	303043
924	68765	302938
925	68840	302868
926	68908	302767
927	68982	302688
928	69049	302582
929	69120	302494
930	69188	302393
931	69255	302286
932	69324	302188
933	69394	302096
934	69459	301983
935	69524	301867
936	69599	301796
937	69665	301686
938	69731	301575
939	69804	301496
940	69874	301403
941	69937	301280
942	70024	301260
943	70087	301138
944	70154	301032
945	70224	300939
946	70285	300809
947	70350	300696
948	70431	300651
949	70497	300540
950	70572	300471
951	70638	300361
952	70702	300246
953	70776	300169
954	70854	300111
955	70919	300000
956	70986	299894
957	71055	299796
958	71142	299776
959	71264	299904
960	71359	299916
961	71435	299849
962	71501	299742
963	71565	299625
964	71633	299526
965	71701	299424
966	71766	299311
967	71844	299253
968	71905	299125
